date,cases
2020-11-21,656305
2020-11-22,607893
2020-11-23,547681
2020-11-24,463730
2020-11-25,603506
2020-11-26,589316
2020-11-27,441157
2020-11-28,779837
2020-11-29,572372
2020-11-30,504932
2020-12-01,453170
2020-12-02,533088
2020-12-03,596911
2020-12-04,628592
2020-12-05,886721
2020-12-06,643130
2020-12-07,582755
2020-12-08,494744
2020-12-09,585121
2020-12-10,654952
2020-12-11,692166
2020-12-12,685283
2020-12-13,685283
2020-12-14,584562
2020-12-15,496156
2020-12-16,636271
2020-12-17,651598
2020-12-18,729790
2020-12-19,700815
2020-12-20,858626
2020-12-21,588729
2020-12-22,531119
2020-12-23,595653
2020-12-24,669024
2020-12-25,661190
2020-12-26,593272
2020-12-27,457977
2020-12-28,476145
2020-12-29,444437
2020-12-30,628996
2020-12-31,700941
2021-01-01,478575
2021-01-02,630501
2021-01-03,746110
2021-01-04,593883
2021-01-05,542399
2021-01-06,736275
2021-01-07,767367
2021-01-08,809260
2021-01-09,799712
2021-01-10,870814
2021-01-11,680908
2021-01-12,566186
2021-01-13,679052
2021-01-14,721411
2021-01-15,711218
2021-01-16,688015
2021-01-17,712893
2021-01-18,592706
2021-01-19,312202
2021-01-20,898893
2021-01-21,621270
2021-01-22,631832
2021-01-23,600790
